,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPD/cap,ВВП на душу населения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vat,аналог ндс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Update,07.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,New Zealand 🇳🇿,,,Australia 🇦🇺,,,,,Canada 🇨🇦,,,USA 🇺🇸,,,,,,United Kingdom 🇬🇧,,,,Netherlands 🇳🇱,,Norway 🇳🇴,Serbia 🇷🇸,Poland 🇵🇱,,,,Russia 🇷🇺,Belarus,Country
,"Population, kk","5,3",,,"27,2",,,,,"40,5",,,"348,8",,,,,,"69,9",,,,"18,5",,"5,6","6,6","38,9",,,,"143,1","8,9","Population, kk"
,"Land Area, km^2","263,3",,,"7682,3",,,,,"9093,5",,,"9147,4",,,,,,"241,9",,,,328,,"365,2","87,4","306,2",,,,"16376,8","202,9","Land Area, km^2"
,"GPD/cap, $","52,023",,,"75,648",,,,,"60,305",,,"94,43",,,,,,"61,056",,,,"79,918",,"105,877","17,252","31,336",,,,"18,525","11,286","GPD/cap, $"
,"min salary / h, usd","14,32",,,"18,11",,,,,"17,6",,,"17,3",,,,,,"17,3",,,,"17,31",,"18,9","3,72","8,71",,,,"2,09","1,61","min salary / h, usd"
,"salary tax, %",30,,,"32,5",,,,,"29,65",,,22,,,,,,45,,,,"49,5",,"13,7","35,5",32,,,,18,13,"salary tax, %"
,"VAT, %",15,,,10,,,,,12,,,10,,,,,,20,,,,21,,25,20,23,,,,22,20,"VAT, %"
,Language,No,,,No,,,,,No,,,No,,,,,,No,,,,Yes,,Yes,Yes,Yes,,,,No,No,Language
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,New Zealand 🇳🇿,,,Australia 🇦🇺,,,,,Canada 🇨🇦,,,USA 🇺🇸,,,,,,United Kingdom 🇬🇧,,,,Netherlands 🇳🇱,,Norway 🇳🇴,Serbia 🇷🇸,Poland 🇵🇱,,,,Russia 🇷🇺,Belarus,Category
,Key IT Visa,Straight to Residence,,,Skilled Independent,,,,,Express Entry (STEM),,,L-1 / H-1B,,,,,,Skilled Worker,,,,HSM (Highly Skilled),,Skilled Worker,Talent/Work Permit,Blue Card / B2B,,,,Work Permit,Na,Key IT Visa
,BY Passport Difficulty,2,,,4,,,,,3,,,5,,,,,,3,,,,2,,3,1,1,,,,0,,BY Passport Difficulty
,PR (Years) Fast Track,0,,,1,,,,,0,,,2,,,,,,5,,,,5,,3,3,5,,,,0,,PR (Years) Fast Track
,PR (Years) General Path,2,,,5,,,,,3,,,10,,,,,,8,,,,7,,7,5,8,,,,2,,PR (Years) General Path
,Citizenship (Years) Fast,5,,,4,,,,,3,,,5,,,,,,6,,,,5,,7,3,5,,,,5,,Citizenship (Years) Fast
,Citizenship (Years) Real,6,,,7,,,,,5,,,15,,,,,,8,,,,7,,10,5,10,,,,6,,Citizenship (Years) Real
,IELTS / Language,"6,5",,,8,,,,,"7,5",,,"6,5",,,,,,"6,5",,,,6,,6,6,6,,,,Na,,IELTS / Language
,"Salary (4-5y exp), $k",100,,,125,,,,,115,,,210,,,,,,110,,,,105,,95,65,90,,,,55,,"Salary (4-5y exp), $k"
,"1 Year Buffer (USD), $k",40,,,50,,,,,50,,,60,,,,,,50,,,,70,,75,35,40,,,,40,,"1 Year Buffer (USD), $k"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Update,08.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.05.2026
,City,Auckland,Wellington,Christchurch, Melbourne,Sydney,Brisbane,Perth,Adelaide,Toronto,Montreal,Ottawa,Chicago,Philadelphia,San Diego,Dallas,Austin,Seattle,Birmingham,Liverpool,Southhampton,Manchester,Amsterdam,Rotterdam,Oslo,Belgrade,Warsaw,Krakow,Lodz,Gdansk,Moscow,Minsk,City
,"Population, kk","1,7","0,4","0,4","5,4","5,3","2,6","2,2","1,4","3,4",2,"1,2","2,7","1,5","1,4","1,3",1,"0,8","2,7","0,9","0,9","2,8","1,2",1,"1,1","1,4","1,8","0,7","0,6","0,4","12,7","2,1","Population, kk"
,Captial,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Captial
,"Immigrants, %",43,34,28,43,57,34,40,37,50,34,31,21,16,25,25,20,18,41,22,32,35,54,52,25,15,15,12,11,13,9,2,"Immigrants, %"
,"Sunny days, %",24,24,25,27,30,33,37,32,24,23,24,29,29,35,32,32,25,16,15,17,16,21,20,19,26,23,22,21,21,19,18,"Sunny days, %"
,"Rainy days, %",36,35,24,35,29,33,24,24,45,46,44,35,33,10,22,23,43,44,47,42,47,50,49,52,37,46,47,46,47,32,44,"Rainy days, %"
,Avg Summer temp,23,18,21,26,26,29,31,29,25,26,27,29,31,25,35,35,24,22,21,22,21,22,23,22,31,23,24,24,22,24,24,Avg Summer temp
,Avg Winter temp,12,8,6,13,13,17,14,10,-6,-10,-12,-5,0,14,10,11,5,5,6,6,5,4,4,-4,3,-2,-3,-2,0,-10,-7,Avg Winter temp
,Crime index,50,33,45,44,34,38,43,33,44,33,31,65,65,40,52,44,55,64,49,48,56,26,26,34,38,25,25,31,33,35,50,Crime index
,Safety,50,67,55,56,66,62,57,67,56,67,69,35,35,60,48,56,45,36,51,52,44,74,74,66,62,75,75,69,67,65,50,Safety
,Quality of life,181,189,190,194,183,195,195,195,165,172,198,166,165,186,182,187,187,164,197,161,159,209,213,180,122,151,149,151,153,124,138,Quality of life
,"Purch, power",128,124,118,149,122,151,145,133,126,131,162,165,140,138,156,166,171,128,131,118,119,136,131,114,67,103,106,101,100,85,73,"Purch, power"
,Health care,69,65,70,72,75,71,72,73,74,62,69,65,71,68,66,65,67,71,81,81,75,82,84,78,53,58,58,59,51,68,50,Health care
,Cost of living,63,63,59,71,75,65,68,68,68,60,62,76,79,82,73,66,91,69,66,70,70,83,75,"90,2","47,6",54,50,47,50,48,32,Cost of living
,"Prop, to income","10,4","9,1","7,2","7,5","12,6","7,4","6,4","9,6","11,4","7,8","5,1","2,9","3,4","7,1","5,5","5,1","4,8","7,2","5,1","7,5","7,3","9,3","6,5","11,6","16,5","12,7","12,3","8,5","12,6","21,6","10,4","Prop, to income"
,Traffic,165,174,99,187,192,194,187,170,195,168,130,189,180,162,169,199,199,131,119,139,158,78,92,95,138,123,104,143,119,214,114,Traffic
,Pollution,"31,1","25,1","25,5",28,"28,6","32,9","28,3",25,"37,5","33,7","24,1",51,"47,7","39,8","40,9","43,4","39,2","48,6",28,27,"53,3","22,6","22,2","21,9","69,2","59,7","69,8","57,4","51,6","54,8","42,5",Pollution
,Climate,"99,9","97,7","88,8","94,3","97,1",98,"95,7",95,"65,3","52,4","44,5","66,1",78,"97,1","81,9","82,1","91,7","87,7","90,9","87,5","86,9","87,5","87,9",60,"84,1","74,6","73,9",77,"75,5","55,8","64,4",Climate
,Avg Peak UV index,"6,6","5,5","5,2",6,7,"8,5",8,7,"3,8","3,5","3,6","4,2","4,3","7,2","5,8","6,1","3,4","3,1","2,9","3,2",3,"3,1","3,1","2,5","4,1","3,2","3,3","3,1",3,3,"3,1",Avg Peak UV index
,Rent Index,"42,5","41,8","32,4","45,1","65,3","44,2","39,0","35,8","56,4","38,5","41,2","54,7","48,6","72,4","52,1","58,5","68,2","34,5","28,6","35,2","38,4","62,5","46,2","44,5","24,8","32,1","28,5","18,2","24,5","31,4","12,5",Rent Index
,Groceries Index,"81,2","79,1","78,1","80,4","85,0","82,2","83,1","85,2","78,2","74,5","75,1","89,2","85,8","91,5","82,4","80,1","93,4","55,4","54,1","56,8","56,2","65,8","64,1","92,4","42,5","41,5","39,8","38,4","40,2","36,5","33,1",Groceries Index
,Internet Speed (Mbps),220,235,210,115,125,120,110,105,240,230,245,280,265,290,310,320,305,145,140,155,165,195,200,215,95,185,170,160,175,105,85,Internet Speed (Mbps)
,"Ocean/Sea, h","0,5","0,5","0,5","0,5","0,5",1,"0,5","0,5","1,5","6,5","6,5",12,"1,5","0,5","4,5",3,"0,5","2,5","0,5","0,5",1,"0,5","0,5","0,5","6,5",4,"6,5",4,"0,5",10,"6,5","Ocean/Sea, h"
,"Forest, h","0,5","0,5","0,5",1,"0,5","0,5","0,5","0,5",1,"0,5","0,5",1,"0,5",1,"0,5","0,5","0,5","0,5",1,"0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,5","Forest, h"
,"Mountains, h","4,5",2,"1,5",3,2,"1,5","5,5","0,5",2,"1,5","0,5",10,2,"1,5",12,"8,5",1,2,"1,5",3,"0,5","8,5","8,5",2,4,6,2,"3,5","7,5",2,12,"Mountains, h"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Update,09.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spendings,Auckland,Wellington,Christchurch, Melbourne,Sydney,Brisbane,Perth,Adelaide,Toronto,Montreal,Ottawa,Chicago,Philadelphia,San Diego,Dallas,Austin,Seattle,Birmingham,Liverpool,Southhampton,Manchester,Amsterdam,Rotterdam,Oslo,Belgrade,Warsaw,Krakow,Lodz,Gdansk,Moscow,Minsk,Spendings
,"Groceries, USD/wk * 4,3",272,290,281,325,302,307,294,324,324,313,324,386,414,380,360,359,466,265,257,272,265,359,330,491,207,217,200,196,194,211,162,"Groceries, USD/wk"
,"milk, l","1,88","2,09","1,94","1,89","1,92","1,76","1,74","2,1","2,8","2,29","2,38","1,27","1,45","1,24","0,95","1,02","1,34","1,91","1,8","1,85","1,54","1,79","1,45","2,64","1,48","1,19","1,22","1,08","1,08","1,39","0,96","milk, l"
,"white bread,  0,5kg","2,21","2,17","1,92","3,18","2,66","2,71","2,93","3,09","2,95","3,32","2,95","4,08","4,35","4,89","3,65","3,66","5,32","1,75","1,66","1,74","1,92","2,78","2,45","4,15","1,07","1,59","1,65","1,19","1,37","1,09","0,69","white bread,  0,5kg"
,"eggs, 12","6,39","7,25","8,71","6,15","5,86","5,11","5,66","5,76","3,62","3,61","3,26","4,83","4,94","6,35","4,7","4,57","6,25","3,83","3,92","4,64","3,76","5,57","5,32","6,07","2,76","4,16","4,33","3,54","3,89","1,95","1,68","eggs, 12"
,"cheese, kg","9,41","8,71","8,3","11,34","13,91","9,54","9,77","10,57","10,95","13,25","9,48","14,27","13,54","15,51","14,17","12,12","21,4","11,97","7,76","10,39","10,43","15,37","14,26","14,58","10,62",11,"9,31","11,57","9,41","14,17","7,83","cheese, kg"
,"bottled of watter, 1,5l","1,06","1,29","1,15","1,88","1,26","1,88","1,47","2,04","1,83","1,5","1,59","2,65","2,49","2,27","2,52","2,31","2,61","1,61","1,72","1,82","1,51","1,71","1,52","2,63","0,73","0,78","0,79","0,69","0,71","0,9","0,68","bottled of watter, 1,5l"
,"chicken filltets, kg","10,55","10,15","9,71","9,86","9,94",9,"8,7","9,25",13,"12,85","12,04","14,56","13,54","13,09","12,38","13,3","18,4","9,12","8,78","9,64","9,25","14,86","14,57","16,84","7,44","7,55","7,47","7,8","6,78","6,64","5,27","chicken filltets, kg"
,"apples, kg","3,01","3,22","2,78","4,22","3,59","4,08","4,38","3,59","3,78","3,65","4,29","5,18",6,"4,56","5,25","5,59","5,61","2,63","2,89",3,"3,13","3,66","3,33","3,84","1,69","1,43","1,43","1,25","1,24","2,24","1,8","apples, kg"
,"oranges, kg","3,28","3,02","2,86","3,3","3,17","3,21","3,43","3,22","3,51","3,36","3,99","3,98","4,84","4,13","4,89","4,64","5,38","2,58","2,79","2,91","3,16","2,58","2,44","3,81","2,06","2,11","1,97","2,56","2,16","2,08","2,54","oranges, kg"
,"potatoes, kg","1,81",2,"1,5","3,24","2,97","2,92","2,88","3,26","1,86","2,48","2,43","2,6","2,97","2,98","2,23","3,07","3,59","1,58","2,23","1,85","1,76","2,18","2,01","2,86","1,02","1,04",1,"0,93","0,95","0,84","0,79","potatoes, kg"
,"lettuce, 1 head","1,99","2,23","2,35","2,53","2,37","2,58","2,21","2,63","2,32","2,36","2,69","2,45","2,44","2,17","1,88","1,96",3,"1,37","1,33","1,26","1,32","1,44","1,55","3,11","0,86","1,6","1,34","1,48","1,4","1,68","1,5","lettuce, 1 head"
,"rice, kg","1,6","1,89","1,97","2,52","2,38","2,35",2,"2,56","2,68","3,25","3,15","4,94","8,92","4,4","4,66","3,83","5,53","2,5","2,32","2,76","1,95","3,01","2,98","4,05","2,88","2,1","1,8","1,54","1,7","1,82","1,4","rice, kg"
,"tomatoes, kg","4,3","5,83","4,55","4,86","5,34","5,84","5,17","4,81","3,72","2,82","3,74","4,7","5,91","4,74","3,98","5,07","6,51","3,68","3,06","3,56","3,58","4,13","4,93","5,89","2,36","3,38","3,11","3,19","3,27","4,14","2,7","tomatoes, kg"
,"bananas, kg","2,46","2,29","2,1","3,28","3,16","3,2","3,35","2,92","1,3","1,6","1,4","1,88","2,07","1,79","1,61","1,57","2,01","1,82","1,85","1,77","1,81","3,13","2,71","2,83","2,06","1,87","1,9","1,79","1,89","1,98","2,03","bananas, kg"
,"onions, kg","1,53","1,23","1,43","2,84","2,45","2,63","2,05","2,27","1,35",2,"2,83","2,64","2,99","2,49","3,29","2,91","3,24","1,79","1,59","1,58","1,59","1,59",2,"3,11","0,81","1,06","1,03","1,01","1,1","0,7","0,77","onions, kg"
,"beef, kg","14,08","14,85","16,43","15,91","15,45","14,32","14,58","16,87","16,12","15,24","16,27","18,21","18,73","20,22","18,14","16,03","22,53","15,55","13,26","14,08","15,76","23,07","18,71","35,32","15,18","15,56","12,44","12,59","13,26","15,2","10,44","beef, kg"
,"Transport, USD/mo",249,221,220,329,339,167,292,268,270,250,238,238,243,222,276,179,238,323,365,358,295,380,361,706,197,170,164,138,145,181,108,"Transport, USD/mo"
,one way ticket,"2,69","2,98","2,45","3,99","4,06","0,36","2,9","3,3","2,45","2,74","2,94","2,5","2,9","2,5",3,"1,75",3,"3,15","2,73","2,85","2,55","4,01","4,72","4,78","1,2","1,23","1,67","1,23","1,34","1,08","0,35",one way ticket
,"public transport pass, mo","129,72","107,82",105,"143,59","157,65","21,76","101,53","86,37","114,1","76,43","98,74",75,100,72,126,"41,25",108,100,"106,35",103,102,"135,57","116,71","86,87","35,5","30,64","38,99","52,92","33,14","46,61","19,99","public transport pass, mo"
,taxi start,"2,39","2,27","2,3","3,7","3,63","2,9","3,81","3,63","3,11","3,47","2,78","3,25","2,85",3,3,"2,75","2,6","4,45","5,18","5,1","3,85","4,89","4,89","12,38","3,22","2,79","2,51","1,7","2,23","2,69","1,77",taxi start
,"taxi, 1km","2,09","1,91","2,1","1,45","1,81","1,9","1,81","2,03","1,28","1,5","1,54","1,4","1,56","2,06","1,75","1,62","1,68","2,4","2,73","1,8","1,95","3,54","3,51","1,9","1,06","1,39","1,11","0,61","1,09","0,67","0,53","taxi, 1km"
,"gasoline, l","1,82","1,8","1,74","1,41","1,4","1,42","1,32","1,34","1,05","1,24","1,07","1,06","0,89","1,38","0,79","0,81","1,27","1,84","1,92","1,84","1,84","2,44","2,41","2,36","1,9","1,72","1,66","1,68","1,67","0,92","0,96","gasoline, l"
,"VF Golf 1,5",26800,26800,28500,29300,28500,29000,28700,28000,27900,29000,28900,36500,36400,37000,36000,35600,36300,36800,39400,36500,36800,43600,43600,49900,32100,33300,33400,33300,33300,40400,28300,"VF Golf 1,5"
,"Toyoyta Corolla Sedan 1,6",23900,26700,26800,26500,28100,28100,29000,28300,21000,21100,21900,26000,25700,26000,28700,26900,25500,32500,41700,32200,32500,40400,41200,45800,26100,32800,31000,29300,30200,40800,25500,"Toyoyta Corolla Sedan 1,6"
,"Restaurant, USD/mo",172,173,166,200,211,209,201,203,202,197,201,242,240,274,241,235,266,229,226,257,223,255,241,291,166,180,178,165,177,178,118,"Restaurant, USD/mo"
,meal at an inexp.rest.,"14,91","14,91","14,91","18,13","21,39","18,13","18,13","18,13","18,28","18,28","18,28",20,21,24,20,20,21,"21,09","21,09","27,21","20,41","23,57","23,57","27,22","13,95","11,81","12,51","11,81","12,78","16,3","10,73",meal at an inexp.rest.
,meal for two at a mid rest.,"77,52","71,56","71,86",87,"94,25","83,38",87,87,"87,74","80,43","71,29",95,80,"93,5",95,80,100,"96,61","98,65","95,25","95,25","94,27","94,27","130,64","60,22","56,97","55,58","55,58","69,48","67,94","42,91",meal for two at a mid rest.
,combo at mcdonald's,"10,02","10,14","9,54","11,6","11,6","11,96","10,89","11,24","11,7","11,38","10,97","12,5","12,88",15,"11,3",12,15,"9,53",10,"10,89","10,89","16,5","14,14","16,33","12,04","9,73","9,73","9,73","9,73","7,74","7,15",combo at mcdonald's
,soft-drink,"2,14","2,55","2,56","3,15","2,78","2,93","2,85","2,83","2,12","1,95","2,04","3,13","2,94","3,15","2,84","3,21","2,95","2,45","2,33","3,19","2,43","3,97","3,95","4,33","2,95","2,53","2,72","2,8","2,06","1,64","0,85",soft-drink
,cappuccino,"3,62","3,62","3,4","4,03","3,96","4,43","4,25","4,26","4,11","3,93","4,18","5,59","5,21","5,91","5,78","5,37","6,11","5,34","5,06","5,25","4,89","4,75","4,49","5,85","3,12","4,71","4,45","3,95","4,34","4,07","2,34",cappuccino
,Sports and Leisure,66,70,55,86,109,90,89,88,82,62,74,106,112,97,77,95,124,69,73,71,79,98,82,102,60,70,64,57,65,68,54,"Sports and Leisure, USD/mo"
,"fitness club, mo","38,06","45,41","30,74","53,6","72,93","58,97","52,42","53,34","54,86","38,11","50,47","72,82","82,11","60,94","47,29","64,64","88,07","36,12","35,38","40,3","51,49","62,4","48,51","60,6","43,33","50,35","46,97","39,53","48,7","49,16","39,33","fitness club, mo"
,cinema ticket,"14,01","12,52","11,93","15,95","18,13","15,59","18,13","17,4","13,53","12,06","11,7","16,77",15,18,15,15,18,"16,33","19,05","15,2","13,57","17,68","16,5","20,58","8,25","9,73","8,34","8,89","8,06","9,51","7,15",cinema ticket
,"Clothing and Shoes, 2 pairs/year / 12",55,62,57,66,66,63,62,69,55,52,45,61,55,61,59,49,68,71,59,67,55,63,67,76,73,67,60,54,57,83,53,Clothing and Shoes
,jeans,"70,62","78,92","62,43","78,64","80,54","80,98","76,3","82,26","60,46","55,76","54,85","64,42","48,95","66,39","55,8","53,6","73,38","108,51","92,39","106,78","87,36","91,43","99,63","100,08","122,89","111,45","86,84","80,07","96,11","96,78","43,75",jeans
,men's leather business shoes,"45,55","29,92","41,97","53,72","72,5","48,83","53,71","57,5","43,55",43,"35,05",52,"47,18","56,66","51,83","43,92",54,"50,6","44,14","52,9","43,83","43,68","39,06","66,68","47,12","45,92","48,38","43,9","47,65","62,64","42,31",men's leather business shoes
,nike running shoes,"97,65","106,42","107,09","126,15","109,96","123,25","114,06","124,37","97,25","98,02","91,34","99,65","97,44","109,23","119,67","84,4","123,12","114,22","109,05","104,2","93,98","109,18","110,49","127,73","115,01","111,59","100,53","97,03","96,63","153,81",123,nike running shoes
,summer dress,"117,66","156,04","128,35","135,44","133,52","123,05","125,71","149,23","127,12","116,94","90,83","149,62","135,15","131,46","128,7","112,27","156,18","150,97","107,7","135,17","106,16","133,25","150,27","162,75","153,52","134,2",124,"105,27","101,19","182,17","110,84",summer dress
,"Rent, USD/mo",1316,1290,1272,1773,2566,1975,1915,1832,1651,1333,1493,2496,1927,3332,1757,1970,2363,1430,1205,1556,1770,2602,1817,2010,915,1236,980,639,1013,1599,607,"Rent, USD/mo"
,1 bed. ap. in city centre,1316,1290,1272,1773,2566,1975,1915,1832,1651,1333,1493,2496,1927,3332,1757,1970,2363,1430,1205,1556,1770,2602,1817,2010,915,1236,980,639,1013,1599,607,1 bed. ap. in city centre
,1 bed. ap. out. city centre,1254,1238,1120,1339,1739,1440,1554,1416,1458,983,1265,1770,1332,2713,1428,1388,1908,1131,828,1225,1275,1976,1534,1596,614,976,822,498,792,861,376,1 bed. ap. out. city centre
,3 bed. ap. in city centre,2426,2269,1627,3469,5032,3459,3010,2526,2715,2255,2294,5147,3935,5258,3791,3744,4680,2264,2297,2468,2937,4022,3171,2892,1702,2157,1515,1139,1739,3381,1086,3 bed. ap. in city centre
,3 bed. ap. out. city centre,1853,1840,1577,2454,3010,2419,2248,2011,2250,1652,1923,3140,2268,4387,2452,2575,3493,1735,1351,1949,2108,3024,2432,2297,1126,1558,1259,871,1140,1599,716,3 bed. ap. out. city centre
,"Utilites, USD/mo",270,287,253,323,304,263,289,285,230,170,235,309,382,408,350,329,442,411,364,420,337,381,382,485,295,379,367,371,361,214,85,"Utilites, USD/mo"
,"electr, heating, cooling, water, garbage, etc","189,72","199,63","175,57","236,84","223,79","173,09","194,69","199,31","142,37","89,22","150,68","174,68",239,"256,43","210,92","203,39","284,91","339,55","298,78","335,08","278,77","300,54","304,58","390,95","233,58","350,04","338,5","343,81","326,71","194,28","62,26","electr, heating, cooling, water, garbage, etc"
,"Internet (unlim,  >= 60Mpbs )","51,29","55,33","52,29","56,31","55,98","61,63","63,08","57,61","50,4","43,35","47,13","64,5","74,89","82,68","72,06","67,85","82,94","49,58","42,68","54,88","41,4","56,64","55,46","60,7","39,78","18,93","19,28","18,13","21,65","10,32","13,69","Internet (unlim,  >= 60Mpbs )"
,mobile phone (calls + 10GB+ Data),"29,19","32,3","25,51","29,95","24,27","27,9","31,34","27,83","37,18","37,92","37,19","69,5","68,44","69,05","66,93","57,57","73,93","21,77","22,82","30,14","17,01","23,94","22,44","33,61","21,53","9,56","9,66","9,33","12,38","9,22","9,17",mobile phone (calls + 10GB+ Data)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Base / 1 people, USD/mo",2163,2150,2084,2815,3577,2774,2852,2778,2529,2118,2334,3489,3021,4403,2802,2885,3576,2499,2250,2673,2721,3785,2957,3768,1687,2069,1772,1399,1769,2287,1016,"Total Base / 1 people, USD/mo"
,"Total All / 1 people, USD/mo",2401,2393,2304,3100,3897,3073,3142,3069,2813,2377,2609,3838,3373,4774,3120,3215,3966,2797,2549,3001,3023,4138,3280,4161,1913,2319,2013,1621,2011,2533,1188,"Total All / 1 people, USD/mo"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Total Base / 2 people, USD/mo",2928,2924,2810,3760,4497,3481,3701,3627,3310,2809,3079,4367,3990,5359,3739,3693,4650,3489,3218,3709,3594,4861,3999,5379,2397,2836,2504,2100,2468,2912,1376,"Total Base / 2 people, USD/mo"
,"Total All / 2 people, USD/mo",3404,3410,3251,4330,5138,4079,4281,4208,3878,3328,3628,5063,4694,6102,4376,4353,5430,4085,3816,4365,4197,5567,4643,6165,2849,3337,2987,2545,2951,3404,1720,"Total All / 2 people, USD/mo"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Avg Salary, USD/mo",3255,3240,2810,4505,4320,4385,4380,3960,3620,2930,3840,4680,4500,5365,4430,4940,6255,4030,3370,3400,3215,5180,4310,4455,1280,2270,2015,1680,1960,1920,960,"Avg Salary, USD/mo"
,"Avg Salary Dev, USD/mo",5800,5700,5400,7400,7900,7100,6900,6500,6800,6100,6300,9800,9200,10800,10200,10500,11500,5200,4900,5100,5300,6200,5800,5900,4200,5800,5500,4800,4800,3800,3200,"Avg Salary Dev, USD/mo"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Saving base 1 people on Avg salary, USD/mo ",1092,1090,726,1690,743,1611,1528,1182,1091,812,1506,1191,1479,962,1628,2055,2679,1531,1120,727,494,1395,1353,687,-407,201,243,281,191,-367,-56,"Saving base 1 people on Avg salary, USD/mo "
,"Saving base 1 people on Avg Dev salary, USD/mo ",3637,3550,3316,4585,4323,4326,4048,3722,4271,3982,3966,6311,6179,6397,7398,7615,7924,2701,2650,2427,2579,2415,2843,2132,2513,3731,3728,3401,3031,1513,2184,"Saving base 1 people on Avg Dev salary, USD/mo "
,"Saving all 1 people on Avg salary, USD/mo ",854,847,506,1405,423,1312,1238,891,807,553,1231,842,1127,591,1310,1725,2289,1233,821,399,192,1042,1030,294,-633,-49,2,59,-51,-613,-228,"Saving all 1 people on Avg salary, USD/mo "
,"Saving all 1 people on Avg Dev salary, USD/mo ",3399,3307,3096,4300,4003,4027,3758,3431,3987,3723,3691,5962,5827,6026,7080,7285,7534,2403,2351,2099,2277,2062,2520,1739,2287,3481,3487,3179,2789,1267,2012,"Saving all 1 people on Avg Dev salary, USD/mo "
,"Saving base 2 people on Avg Dev salary, USD/mo ",2872,2776,2590,3640,3403,3619,3199,2873,3490,3291,3221,5433,5210,5441,6461,6807,6850,1711,1682,1391,1706,1339,1801,521,1803,2964,2996,2700,2332,888,1824,"Saving base 2 people on Avg Dev salary, USD/mo "
,"Saving base 2 people on Avg Dev + Des salary, USD/mo ",6352,6196,5830,8080,8143,7879,7339,6773,7570,6951,7001,11313,10730,11921,12581,13107,13750,4831,4622,4451,4886,5059,5281,4061,4323,6444,6296,5580,5212,3168,3744,"Saving base 2 people on Avg Dev + Des salary, USD/mo "
,"Saving all 2 people on Avg Dev salary, USD/mo ",2396,2290,2149,3070,2762,3021,2619,2292,2922,2772,2672,4737,4506,4698,5824,6147,6070,1115,1084,735,1103,633,1157,-265,1351,2463,2513,2255,1849,396,1480,"Saving base 2 people on Avg Dev salary, USD/mo "
,"Saving all 2 people on Avg Dev + Des salary, USD/mo ",5876,5710,5389,7510,7502,7281,6759,6192,7002,6432,6452,10617,10026,11178,11944,12447,12970,4235,4024,3795,4283,4353,4637,3275,3871,5943,5813,5135,4729,2676,3400,"Saving base 2 people on Avg Dev + Des salary, USD/mo "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Buy Apartment Price in centre, 80m*m / USD",655200,544800,399200,601600,944000,679200,561600,777600,680800,401200,355200,325600,327200,646400,732800,580800,629600,443200,310400,482400,405600,891200,488800,947200,415600,511600,478000,265600,470400,948400,188000,"Buy Apartment Price in centre, 80m*m / USD"
,"Buy Apartment Price out. centre, 80m*m / USD",438400,314000,216000,527200,597600,453600,430400,528000,549600,309600,349600,213600,149600,528800,257200,259200,424000,341600,213600,446400,376400,591200,335200,596000,248400,324800,310800,201200,286400,387200,120800,"Buy Apartment Price out. centre, 80m*m / USD"
,USD/m*m in city centre,8190,6810,4990,7520,11800,8490,7020,9720,8510,5015,4440,4070,4090,8080,9160,7260,7870,5540,3880,6030,5070,11140,6110,11840,5195,6395,5975,3320,5880,11855,2350,USD/m*m in city centre
,USD/m*m out. city centre,5480,3925,2700,6590,7470,5670,5380,6600,6870,3870,4370,2670,1870,6610,3215,3240,5300,4270,2670,5580,4705,7390,4190,7450,3105,4060,3885,2515,3580,4840,1510,USD/m*m out. city centre
,"Interest Rate (20-Year Fixed, in %)","5,75","5,51","6,11","5,61","5,81","5,87","5,89","6,11","4,47","4,5","4,29","6,98","6,42","6,41","6,72","6,6","6,68",5,"5,15","4,96","5,13","3,51","3,76","5,15","4,84","6,96","6,76","6,7","7,03","20,85","16,75","Interest Rate (20-Year Fixed, in %)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,